# H0 k chi2
7.598076052505358291e+01 4.024794111223354065e+00 1.218368036545962241e+01
7.467794956766670111e+01 3.929990405588527747e+00 1.150537722607428748e+01
7.510430961853415965e+01 4.171213899460249230e+00 1.166737909708865928e+01
7.612866609820206065e+01 4.291963284258691225e+00 1.220535837342340990e+01
7.655354381505493677e+01 4.301296623657682616e+00 1.246119622084105671e+01
7.598605000364906914e+01 4.593368357855221795e+00 1.205825144137668659e+01
7.488608183150446962e+01 4.608247096440583945e+00 1.147912475622084827e+01
7.484153589051008737e+01 4.399065115058972353e+00 1.149300582561747497e+01
7.403518387923580235e+01 4.309786748171317683e+00 1.114317088410328971e+01
7.455285518761606056e+01 4.589272332944071664e+00 1.132652091111407699e+01
7.415676416098710888e+01 4.445171289867901443e+00 1.117393770889377436e+01
7.441881322751665095e+01 4.630029762024419959e+00 1.126034877827103031e+01
7.399058386173247470e+01 4.800510499426244415e+00 1.105631622269807224e+01
7.399058386173247470e+01 4.800510499426244415e+00 1.105631622269807224e+01
7.372980053462615047e+01 4.746925621651715943e+00 1.096001401439015588e+01
7.353594488895488723e+01 4.771396537875782329e+00 1.088408442765337369e+01
7.434510050348272614e+01 4.836387992951769021e+00 1.119962883338257598e+01
7.458861365000859678e+01 4.543467822893060948e+00 1.134990842482755369e+01
7.421932964590048698e+01 4.557327303135158658e+00 1.118408017603550419e+01
7.392921299337076846e+01 4.397149522479827155e+00 1.108576718187116761e+01
7.386282390298119083e+01 4.014036690230553539e+00 1.111974617618038508e+01
7.361033165171292580e+01 4.084834626254517431e+00 1.100498730558900462e+01
7.344086689423090775e+01 4.329595597206361113e+00 1.090361289921466437e+01
7.377770364862600161e+01 4.654117253566880663e+00 1.098999536026015278e+01
7.336887414571476995e+01 4.750403045879729724e+00 1.082583651141164438e+01
7.323249803469683172e+01 4.985460021249595641e+00 1.082583651141164438e+01
7.323249803469683172e+01 4.985460021249595641e+00 1.082583651141164438e+01
7.323249803469683172e+01 4.985460021249595641e+00 1.082583651141164438e+01
7.323249803469683172e+01 4.985460021249595641e+00 1.082583651141164438e+01
7.323249803469683172e+01 4.985460021249595641e+00 1.082583651141164438e+01
7.226361124407443981e+01 4.976218508552760156e+00 1.046146045086345211e+01
7.297567500644797178e+01 4.947551929387276282e+00 1.067286961546102653e+01
7.258311346664007147e+01 4.904057671058648538e+00 1.055625901199241845e+01
7.285921499951490432e+01 4.993489076318436304e+00 1.063196567784527602e+01
7.267618874528429274e+01 4.993367649261521102e+00 1.057631084780679309e+01
7.231806507954524932e+01 4.781862002570163028e+00 1.049118562217046779e+01
7.287654668685448200e+01 4.737755202953846556e+00 1.066086179011312751e+01
7.269215979723423970e+01 4.787806497788893445e+00 1.059883336300198131e+01
7.270423317433568400e+01 4.851102240191885961e+00 1.059681631402179924e+01
7.270423317433568400e+01 4.851102240191885961e+00 1.059681631402179924e+01
7.270192374843529137e+01 4.936976796673744339e+00 1.058869496915120756e+01
7.270192374843529137e+01 4.936976796673744339e+00 1.058869496915120756e+01
7.334015166383085216e+01 4.394876140243274776e+00 1.085775496503216075e+01
7.433982217412113869e+01 4.244992110250287887e+00 1.128637316988966788e+01
7.433982217412113869e+01 4.244992110250287887e+00 1.128637316988966788e+01
7.447025768032925441e+01 4.003259047920432856e+00 1.139103470356911885e+01
7.527076727485608387e+01 4.020984524000128957e+00 1.178702120129306508e+01
7.492649402570015127e+01 4.008805411305934818e+00 1.161152423594320915e+01
7.536522395366193905e+01 4.027032238812885190e+00 1.183613427230611137e+01
7.626197678797383617e+01 3.592619890501309587e+00 1.248317679530900648e+01
7.613512776304312979e+01 3.586989733817610659e+00 1.240549029934030401e+01
7.630872968703543791e+01 3.605164001397660467e+00 1.250851356608853493e+01
7.529063869028247780e+01 3.642058969906575072e+00 1.189397284207208116e+01
7.528386525223953640e+01 3.847467967682156154e+00 1.183576918062078143e+01
7.451836914359839170e+01 3.843480473818913001e+00 1.144718014229036740e+01
7.501802047359917935e+01 3.921608063880152262e+00 1.167768413383513249e+01
7.452111112968869122e+01 3.668297722631413293e+00 1.148860150170693117e+01
7.434544503301209772e+01 3.649740758155920695e+00 1.140874322124479789e+01
7.416464056441607511e+01 3.557756645687195185e+00 1.134577234692671865e+01
7.488547624219737031e+01 3.448889666961961087e+00 1.134577234692671865e+01
7.509863416124510138e+01 3.587522420514573263e+00 1.180491623970734949e+01
7.509863416124510138e+01 3.587522420514573263e+00 1.180491623970734949e+01
7.531178212625052026e+01 3.555770891055888949e+00 1.193049140113873285e+01
7.440137176311706924e+01 3.394007638152078510e+00 1.150018739880467322e+01
7.443287187355953449e+01 3.503625525537812813e+00 1.148659444781996974e+01
7.418364365388146098e+01 3.333702640175070897e+00 1.141125971910910941e+01
7.472669431602433576e+01 3.418725253510924045e+00 1.165688948184014428e+01
7.472669431602433576e+01 3.418725253510924045e+00 1.165688948184014428e+01
7.440496740289879085e+01 3.736528742136315362e+00 1.141699980856741448e+01
7.421832213603003936e+01 3.823045574246901612e+00 1.131154490138242075e+01
7.403559314516006395e+01 3.521759036292172240e+00 1.129511236258616869e+01
7.400600708192713739e+01 3.624444052275851647e+00 1.125839716190918693e+01
7.377307747277761507e+01 3.527618689858574186e+00 1.117734908427272700e+01
7.355463369908098059e+01 3.339294198166248062e+00 1.112648602091150707e+01
7.354455209016413164e+01 3.572893014223587294e+00 1.107110443674360312e+01
7.318308416968683616e+01 3.406047251106400608e+00 1.096005622848160144e+01
7.369135859331446170e+01 3.524568500799682536e+00 1.114289803370088272e+01
7.383221449117552027e+01 3.393971890562228921e+00 1.123416412772634487e+01
7.373693540772478627e+01 3.155662299814853800e+00 1.125254951097495137e+01
7.348769000660797701e+01 2.911901879546745509e+00 1.121034551796983258e+01
7.250007858842695896e+01 2.845773341620932761e+00 1.082567944049371533e+01
7.288175185219670027e+01 3.123427576335545908e+00 1.090430434792595449e+01
7.254830065070032674e+01 3.438624138159947385e+00 1.072157957297658548e+01
7.242607463908854015e+01 3.627804312352157723e+00 1.065092243235150349e+01
7.267382392477240671e+01 3.673502767516412693e+00 1.072582210778295320e+01
7.306346819043059782e+01 3.862404561195337038e+00 1.083290154351127299e+01
7.369254442003536099e+01 3.658409224183715391e+00 1.111526600324528502e+01
7.294759611757957884e+01 3.535357304285372759e+00 1.084568520783952650e+01
7.311667072633019870e+01 3.347894001076059833e+00 1.094619924336338279e+01
7.311667072633019870e+01 3.347894001076059833e+00 1.094619924336338279e+01
7.338260665167362617e+01 3.268536319865908091e+00 1.107081269944306712e+01
7.319715577803231099e+01 3.460037671069438048e+00 1.095457538286694188e+01
7.314408850189755640e+01 3.403512662661526633e+00 1.094534206575822211e+01
7.300227620741164003e+01 3.783065543960191235e+00 1.082336812688661709e+01
7.279150297612039822e+01 3.666824608592040846e+00 1.076736695801190891e+01
7.248930736875243497e+01 3.901870901002941316e+00 1.063279149588819195e+01
7.176155719553418066e+01 4.184475598302088706e+00 1.039651543842784953e+01
7.222747054076729967e+01 3.985676819083526556e+00 1.054294167865829834e+01
7.234930938298381875e+01 3.803982801915719580e+00 1.060200520494327314e+01
7.264149287265432520e+01 3.494576301693127718e+00 1.074392585511998277e+01
7.273917200801029992e+01 3.352517882580546615e+00 1.080388631458564497e+01
7.287812671255834118e+01 3.281320083627676798e+00 1.086889787297715415e+01
7.226404473188296151e+01 3.259746718358857098e+00 1.065778071952589734e+01
7.231244849407356412e+01 3.023188031950758692e+00 1.071891241573063525e+01
7.195359677004046262e+01 2.674631512557132940e+00 1.067314603473529289e+01
7.135193534866714060e+01 2.743620456576822964e+00 1.047116095579016637e+01
7.167519785431605328e+01 2.691230243054274052e+00 1.057853905050162524e+01
7.268133494303178566e+01 2.848248268638827518e+00 1.089344793050024407e+01
7.244940873982132246e+01 2.751136722155404613e+00 1.083053171954102822e+01
7.227907308896847383e+01 2.958715011571283249e+00 1.072092555123505697e+01
7.191097151167780055e+01 2.700923750374176535e+00 1.065277729662091488e+01
7.047783666371991274e+01 2.993285577415733645e+00 1.022330153667577868e+01
7.082384431591856355e+01 2.793805031458338028e+00 1.032406646715949350e+01
7.144665636747282633e+01 2.373602066881388417e+00 1.057949926243209049e+01
7.117459563102815423e+01 2.670490132474796940e+00 1.043458842143685494e+01
7.160768309148068056e+01 2.528090351234087318e+00 1.059350268697824760e+01
7.129963679650022357e+01 2.369535198054483427e+00 1.053416444220917292e+01
7.092508655738626544e+01 2.385566682165109587e+00 1.042055398599397265e+01
7.099462133319499912e+01 2.240631286262170008e+00 1.047316734652996573e+01
7.122827680766098979e+01 2.456897372684658354e+00 1.049244885869873656e+01
7.090544317608515712e+01 2.901507447299461973e+00 1.032878585639048552e+01
7.132069289673695778e+01 2.887325313357080869e+00 1.043770948212963745e+01
7.128900732690277664e+01 2.695646681865336181e+00 1.046206236153763669e+01
7.224431149688797404e+01 2.706985118937936363e+00 1.076665994586319286e+01
7.200670627134157087e+01 2.100439398136351166e+00 1.086398728194502894e+01
7.221916210264278391e+01 2.348196014946567711e+00 1.085960379251961960e+01
7.221916210264278391e+01 2.348196014946567711e+00 1.085960379251961960e+01
7.202341336724022369e+01 2.209881507308675719e+00 1.083082472412284503e+01
7.148012165305441101e+01 2.467486235152600571e+00 1.056714424850254375e+01
7.183148909670535431e+01 2.153896037625834037e+00 1.077780974015910154e+01
7.159660682028628287e+01 2.470692049907788235e+00 1.060370334121446589e+01
7.195846316824672328e+01 2.427466852753793702e+00 1.073862789349861302e+01
7.195846316824672328e+01 2.427466852753793702e+00 1.073862789349861302e+01
7.171855182864374001e+01 2.148472604658543617e+00 1.073816164330873768e+01
7.212096188486098924e+01 1.873205642788665859e+00 1.100766248180167040e+01
7.212096188486098924e+01 1.873205642788665859e+00 1.100766248180167040e+01
7.205827689842760719e+01 1.804462894341971602e+00 1.101472897625365377e+01
7.299268403819415596e+01 1.856774077249518262e+00 1.142018416182099116e+01
7.299268403819415596e+01 1.856774077249518262e+00 1.142018416182099116e+01
7.334026969948568819e+01 1.785642036751048378e+00 1.164616874993592432e+01
7.343688694537596007e+01 1.784091690786450801e+00 1.169972189325047118e+01
7.227041732810229746e+01 1.431128438002515768e+00 1.134807352427581684e+01
7.249034386537724117e+01 1.570423272586821906e+00 1.135449441921997327e+01
7.226827396120066282e+01 1.560783566173525427e+00 1.125288408155297937e+01
7.209756710475363661e+01 1.684688555164735035e+00 1.109650699507676919e+01
7.206095619077271408e+01 1.664078564853501918e+00 1.109206024956483105e+01
7.317731923804529970e+01 1.931408078773476866e+00 1.146964482161796184e+01
7.304419238634444866e+01 1.422516562682193175e+00 1.176763543723219740e+01
7.319113015037669356e+01 1.450919515293635831e+00 1.182575130695532906e+01
7.291693279944652772e+01 1.702043674268130413e+00 1.147954605780166304e+01
7.246802010661825477e+01 1.662818405755343232e+00 1.128172806132350914e+01
7.289656593498823156e+01 1.520641433427567746e+00 1.160219058056803831e+01
7.294867562680012441e+01 1.315271533099332535e+00 1.181532996203681840e+01
7.249533940222647743e+01 1.301005452581804001e+00 1.157596101198500271e+01
7.159507168718864989e+01 1.249771107023493588e+00 1.116663670701513666e+01
7.177346602224635319e+01 1.505844318296619022e+00 1.106083205601738584e+01
7.174458499446485860e+01 1.453001826342755542e+00 1.108280846775026340e+01
7.138962706990486140e+01 1.492215722016682733e+00 1.090452235285493288e+01
7.087344023210548016e+01 1.368447766387336673e+00 1.077205087017458496e+01
7.092468091624186854e+01 1.633524566277717138e+00 1.065228714310736891e+01
