# H0 k Omega_rbh chi2
7.403481760131251121e+01 3.216911396430902403e+00 1.054431095802219331e-01 1.322397170766065244e+01
7.411269484979483479e+01 3.322938419499358087e+00 1.128816478970263576e-01 1.348416521995046047e+01
7.393080085622673892e+01 3.035546428306557409e+00 1.003899345076364052e-01 1.301809740210127941e+01
7.388728497881423607e+01 2.769903161451623408e+00 1.159473386787226168e-01 1.353604447711716396e+01
7.369004279349628916e+01 2.773249025291039338e+00 1.212193598772828146e-01 1.325338182532193798e+01
7.443346969781359235e+01 2.625077017924450029e+00 1.274438840264567885e-01 1.562583932547224919e+01
7.437462754978079715e+01 2.948408656357706104e+00 1.206004662511939995e-01 1.478196690157647453e+01
7.488312457308127534e+01 2.877725502911875122e+00 1.231526980103775509e-01 1.683173945783068959e+01
7.488312457308127534e+01 2.877725502911875122e+00 1.231526980103775509e-01 1.683173945783068959e+01
7.488312457308127534e+01 2.877725502911875122e+00 1.231526980103775509e-01 1.683173945783068959e+01
7.488312457308127534e+01 2.877725502911875122e+00 1.231526980103775509e-01 1.683173945783068959e+01
7.501661067106981307e+01 3.107600455925636496e+00 1.155324907946854995e-01 1.692153361053104987e+01
7.517033670238249954e+01 3.579052328775295333e+00 1.273960538363552997e-01 1.740899825729387373e+01
7.513098162374332389e+01 3.452806703532548926e+00 1.269553707998087033e-01 1.734046414277774062e+01
7.467210762708521088e+01 3.392879112820901266e+00 1.237183864417165935e-01 1.541453779759212672e+01
7.500614382688665671e+01 3.063610526806041179e+00 1.043208994714159010e-01 1.664800487992291167e+01
7.500614382688665671e+01 3.063610526806041179e+00 1.043208994714159010e-01 1.664800487992291167e+01
7.518929263128475782e+01 2.923890338638915676e+00 1.113726100182539230e-01 1.781848457144684161e+01
7.492989366431839926e+01 2.650909964657191864e+00 1.235380886459970518e-01 1.738706227006092320e+01
7.492989366431839926e+01 2.650909964657191864e+00 1.235380886459970518e-01 1.738706227006092320e+01
7.501490933796407035e+01 2.487658202530195872e+00 1.203554528793296663e-01 1.794612778730824942e+01
7.516286923655614771e+01 2.646771301228758144e+00 1.132227434896949242e-01 1.812170812199953573e+01
7.522734102601189932e+01 2.766636189379151123e+00 1.031660054497263723e-01 1.795954276818767070e+01
7.475059517002662801e+01 2.916732288441511223e+00 1.100639383193758730e-01 1.588949283693712999e+01
7.458185520267169011e+01 2.831554377711425374e+00 1.078226050373777556e-01 1.529251835346459920e+01
7.433008412074481441e+01 2.632872415273626476e+00 1.068392785229769076e-01 1.465495572502354982e+01
7.451021035007781279e+01 2.342483811892410284e+00 1.084715082497230837e-01 1.573040524868625667e+01
7.451021035007781279e+01 2.342483811892410284e+00 1.084715082497230837e-01 1.573040524868625667e+01
7.480577478453223250e+01 2.195216198493760817e+00 1.024166222213614835e-01 1.689031956412724611e+01
7.466778282063901884e+01 2.230996607544775578e+00 1.057689546612451542e-01 1.640758112627470311e+01
7.461597964643080161e+01 2.352021324700965810e+00 9.655346308214889095e-02 1.568502270107836338e+01
7.459555792007527941e+01 2.484986675685701751e+00 1.176315140055672892e-01 1.611828669917392887e+01
7.472419838387378377e+01 2.621214550779041641e+00 1.286477833335493981e-01 1.674751283531309198e+01
7.433807288090144993e+01 2.257214798949460199e+00 1.368972202013263029e-01 1.641058864453781041e+01
7.405239227046776307e+01 2.300555365325883450e+00 1.407529996612646994e-01 1.557643647405092580e+01
7.404820597200621535e+01 2.587432030198938637e+00 1.267554104525607239e-01 1.449616147984354875e+01
7.436601907430727465e+01 2.925784477610318568e+00 1.221108994623476413e-01 1.481966515590825573e+01
7.403227086585654604e+01 2.516749219809291560e+00 1.042031877197973772e-01 1.387735894729614827e+01
7.403227086585654604e+01 2.516749219809291560e+00 1.042031877197973772e-01 1.387735894729614827e+01
7.379417198426398272e+01 2.058085874630333212e+00 9.586811049409946217e-02 1.369140409502893796e+01
7.389064797483548830e+01 2.175538521203586484e+00 1.140290026355923192e-01 1.438513772386901657e+01
7.392824776586418523e+01 1.979204673264930658e+00 1.065620099031263091e-01 1.457265669231087379e+01
7.411739249878772284e+01 1.826477601198808420e+00 1.042185640463017260e-01 1.531405514309010840e+01
7.362434939788761312e+01 1.914649297208117273e+00 1.071631055748753086e-01 1.406175061952564498e+01
7.362434939788761312e+01 1.914649297208117273e+00 1.071631055748753086e-01 1.406175061952564498e+01
7.371930332074794023e+01 1.845859391976649055e+00 1.127110204437272445e-01 1.466474640192800827e+01
7.313097935565012619e+01 2.018319529888924713e+00 1.072489897983269075e-01 1.314957932841830335e+01
7.319324412391094370e+01 1.793266061519177779e+00 1.122202527932869981e-01 1.389894122738384752e+01
7.331383181588383025e+01 1.840325063374862236e+00 1.188500114490567694e-01 1.424491925925365621e+01
7.387501331450373243e+01 2.055836572396048112e+00 1.218707888101952241e-01 1.492316483387145354e+01
7.391569690507721191e+01 2.048540996850769513e+00 1.365694958348280807e-01 1.570266135223304538e+01
7.379385119486398992e+01 2.130438576768987957e+00 1.347238619930872516e-01 1.508992973456027187e+01
7.379385119486398992e+01 2.130438576768987957e+00 1.347238619930872516e-01 1.508992973456027187e+01
7.345828422804073909e+01 2.271572773470246887e+00 1.478096717567369545e-01 1.458050766053519709e+01
7.365826165278353699e+01 2.136336640215790617e+00 1.446929263765879548e-01 1.520206036215150291e+01
7.334581612715025756e+01 2.196508624497010231e+00 1.463494229573823746e-01 1.453602403622608996e+01
7.336893102427264068e+01 2.144467829174603324e+00 1.446075254076700789e-01 1.464190233556618459e+01
7.344008320857615502e+01 1.815346424909451306e+00 1.292906206101197553e-01 1.502527879396525101e+01
7.330733069748480091e+01 1.728687046102179048e+00 1.359247628342314107e-01 1.546017605772374104e+01
7.303455715153808114e+01 1.608108649879550711e+00 1.238480508332982510e-01 1.487081500433939141e+01
7.335261715602410959e+01 1.708177212582950188e+00 1.161500929796631248e-01 1.453703652038078431e+01
7.295309802865170923e+01 1.994639962876881834e+00 1.039543782480104456e-01 1.293816088863766822e+01
7.245314036788690260e+01 1.906297666063950125e+00 1.024856798712849848e-01 1.298109952099860287e+01
7.197358362558321687e+01 1.918699987085662029e+00 1.013164449053180899e-01 1.332448822197488347e+01
7.197358362558321687e+01 1.918699987085662029e+00 1.013164449053180899e-01 1.332448822197488347e+01
7.190765938881450836e+01 1.475497235637989402e+00 1.029008913454695640e-01 1.434635072352609342e+01
7.215461349077813225e+01 1.387734398222627119e+00 1.030712228470436198e-01 1.433742441420746516e+01
7.214390207864218496e+01 1.421726523501565920e+00 9.984709209968330168e-02 1.407751937273294018e+01
7.176073302669902887e+01 1.406504164345196095e+00 9.892973232542846829e-02 1.453690262279575052e+01
7.188431660100317799e+01 1.077793294277239688e+00 9.896330395825837789e-02 1.538897640786240473e+01
7.174039187606499013e+01 1.382172613428696240e+00 8.860721026247439513e-02 1.413588817562386346e+01
7.153673820197599298e+01 1.158796867216018045e+00 7.319555810390462880e-02 1.424258539091264097e+01
7.141029639325640233e+01 1.165625501373143136e+00 7.806175461803868676e-02 1.474975492502028374e+01
7.160100736603929761e+01 1.277557574691580822e+00 7.054929983111878078e-02 1.378839094840670754e+01
7.115297071403718121e+01 1.451303001084585098e+00 5.047823068758919285e-02 1.411173497658722198e+01
7.079921005857111993e+01 1.763751984984247567e+00 3.328798778509274581e-02 1.492908615928480032e+01
7.107108452996754977e+01 1.799716394861516688e+00 3.721604066514443143e-02 1.398860911755476266e+01
7.143667069521042379e+01 2.047235581413550776e+00 3.294443505527536870e-02 1.277731044795980075e+01
7.130804155417720835e+01 2.097100383843014892e+00 4.433035319777763050e-02 1.328263139402368509e+01
7.153859376077849674e+01 2.046749192581033050e+00 3.629059305985975203e-02 1.255957168619627318e+01
7.150429700265854649e+01 2.015662121661868422e+00 4.500805588624814946e-02 1.278406597614840479e+01
7.171042510587017205e+01 1.820647790829106549e+00 4.352409927268896528e-02 1.234398660515836887e+01
7.156772245481042205e+01 2.056292856851045681e+00 3.200148366418904822e-02 1.242726443138279713e+01
7.147862980087292328e+01 1.857014717466476839e+00 2.818061987680309244e-02 1.263148907632475115e+01
7.147862980087292328e+01 1.857014717466476839e+00 2.818061987680309244e-02 1.263148907632475115e+01
7.154092981020835396e+01 1.955704319433238858e+00 2.973289286255392447e-02 1.247797514800849683e+01
7.153109340225256574e+01 2.104406844315667602e+00 4.785202042542963108e-02 1.273823423346902572e+01
7.145723651493028683e+01 2.273276037182238696e+00 5.292237910003501355e-02 1.295087792864080001e+01
7.122616115729340436e+01 2.035653661601374953e+00 5.727928103089178352e-02 1.374794777152556691e+01
7.128630600010257012e+01 2.043029570318694255e+00 5.221584980006475224e-02 1.348223001291691148e+01
7.091719829572045342e+01 1.865685715501512965e+00 6.884615656596775046e-02 1.505806625711096913e+01
7.124218773701635143e+01 1.866237897253577360e+00 8.540969679606037757e-02 1.442524470800204917e+01
7.124218773701635143e+01 1.866237897253577360e+00 8.540969679606037757e-02 1.442524470800204917e+01
7.186401135938960749e+01 1.774943090478059204e+00 7.540194042210821013e-02 1.286043195237490266e+01
7.192697517964666076e+01 2.011428042641744351e+00 9.081492020286723033e-02 1.295145043788748573e+01
7.184070151140478799e+01 1.798219718278146306e+00 8.237866101856021472e-02 1.308318933696059716e+01
7.184070151140478799e+01 1.798219718278146306e+00 8.237866101856021472e-02 1.308318933696059716e+01
7.167885236123458981e+01 1.991405811509708412e+00 7.826436273267131649e-02 1.307722752258821686e+01
7.152794553857658855e+01 1.929603288876527767e+00 7.079462903536302976e-02 1.327398484728608530e+01
7.167442269209024630e+01 2.362099668412044551e+00 6.627015344476111514e-02 1.261723003770131513e+01
7.151163000606422315e+01 2.535831919895839892e+00 6.832225464816302218e-02 1.295168201274725561e+01
7.138290676202925056e+01 2.596225058420978282e+00 7.148357423958115464e-02 1.330656363265808828e+01
7.139979557668767995e+01 2.829026892413531780e+00 4.524608920192176725e-02 1.289813962733540720e+01
7.157773584188399241e+01 3.228986101130922215e+00 4.455044581860635733e-02 1.237744224615681610e+01
7.157773584188399241e+01 3.228986101130922215e+00 4.455044581860635733e-02 1.237744224615681610e+01
7.137146483069859926e+01 3.395082712198226105e+00 4.931559170695760941e-02 1.294067047017182936e+01
7.137146483069859926e+01 3.395082712198226105e+00 4.931559170695760941e-02 1.294067047017182936e+01
7.191050791370504669e+01 3.719333010257563910e+00 4.337424316737548136e-02 1.160473458465219387e+01
7.250306230282288311e+01 3.539743463225832443e+00 5.980252538971351367e-02 1.103757050185858724e+01
7.269229180093797993e+01 3.474812364881660454e+00 5.803016211938258340e-02 1.094475999001324595e+01
7.258227885385582567e+01 3.441903464862823281e+00 6.707953266728945707e-02 1.109298826292380014e+01
7.251164360535146614e+01 3.309955656027412374e+00 6.668624666903082143e-02 1.116036723248545215e+01
7.286304854515634588e+01 3.398240057321778806e+00 6.165793589913347306e-02 1.098532599567664825e+01
7.284976510821115880e+01 3.545626113449777517e+00 4.962863623463550922e-02 1.082145083661364460e+01
7.339855657518752707e+01 3.446020739400483368e+00 4.571144760300774323e-02 1.108547284517922016e+01
7.327067061708032725e+01 3.642204309434223575e+00 4.531051168992310252e-02 1.092883556685914215e+01
7.292864219063312703e+01 3.816638996066571643e+00 4.278041767759619557e-02 1.072181699496857021e+01
7.292864219063312703e+01 3.816638996066571643e+00 4.278041767759619557e-02 1.072181699496857021e+01
7.309918494150343804e+01 4.171932251230013655e+00 5.272244464064449604e-02 1.081110672864767253e+01
7.317308750482897040e+01 4.205052451352201182e+00 4.565430229496092451e-02 1.078720601016855696e+01
7.317308750482897040e+01 4.205052451352201182e+00 4.565430229496092451e-02 1.078720601016855696e+01
7.316411983135184016e+01 4.063346163406760247e+00 4.556719479373161352e-02 1.079849916792194442e+01
7.323559076466247575e+01 4.196515922788705666e+00 4.351916424442223152e-02 1.081057043055903044e+01
7.352072713789215186e+01 4.148008298713118158e+00 4.220976957758899167e-02 1.108490004410255914e+01
7.287596615103423403e+01 4.268141231800414381e+00 4.655890804122470028e-02 1.069678601456057088e+01
7.274730958142167481e+01 4.262784926657652740e+00 4.816903461962904198e-02 1.072277725557105832e+01
7.272128057359569198e+01 4.457747438144683549e+00 4.076249631674998958e-02 1.065940643032300628e+01
7.269704073082253615e+01 4.608629029193430426e+00 4.132158057619583075e-02 1.065846795820331216e+01
7.226195199488306287e+01 4.391323505788452763e+00 4.348949838942980928e-02 1.101918116311671447e+01
7.223762793026841678e+01 4.268566003407091358e+00 4.050379084865591423e-02 1.103926369563100529e+01
7.252262745862552151e+01 4.106361274377845483e+00 5.419250735773510630e-02 1.088447623440153578e+01
7.280160447097027543e+01 4.066366065498155713e+00 4.415929575321596995e-02 1.070424734735597738e+01
7.265104123180896067e+01 3.966747433174583115e+00 4.379635888416361783e-02 1.075228585838164541e+01
7.259361973371589727e+01 4.164638800465373158e+00 3.002900984031698500e-02 1.066252861610195701e+01
7.241264094643672422e+01 4.258824338949778188e+00 3.115660797430736678e-02 1.079621952654187744e+01
7.195788722319760211e+01 4.286941418887900035e+00 3.189705344746165960e-02 1.140745992150958088e+01
7.225447095981236600e+01 3.884225335202288854e+00 1.633407411922585886e-02 1.088857716268896425e+01
7.225447095981236600e+01 3.884225335202288854e+00 1.633407411922585886e-02 1.088857716268896425e+01
7.233377687684591706e+01 3.450138873655139271e+00 1.651042874956009862e-02 1.081359762988394202e+01
7.233377687684591706e+01 3.450138873655139271e+00 1.651042874956009862e-02 1.081359762988394202e+01
7.233377687684591706e+01 3.450138873655139271e+00 1.651042874956009862e-02 1.081359762988394202e+01
7.246872376098595225e+01 3.383961522301630609e+00 1.110810736377308358e-02 1.064811285619391512e+01
7.237655773082278188e+01 3.283542841958805525e+00 2.779066327778364348e-02 1.087076600229319112e+01
7.253770442456520584e+01 3.490517125666638076e+00 2.386856534994597628e-02 1.069312798686274313e+01
7.236594519920708990e+01 3.615007311053107131e+00 2.923534703345102154e-02 1.086773185030414623e+01
