chain,rows,weighted_samples,H0_mean,H0_std,H0_min,H0_max,log10_ua10_V0_mean,log10_ua10_V0_std,log10_ua10_V0_min,log10_ua10_V0_max,ua10_V0_mean,ua10_V0_std,ua10_V0_min,ua10_V0_max,minuslogpost_mean,minuslogpost_std,minuslogpost_min,minuslogpost_max,chi2_mean,chi2_std,chi2_min,chi2_max,chi2__CMB_mean,chi2__CMB_std,chi2__CMB_min,chi2__CMB_max,chi2__BAO_mean,chi2__BAO_std,chi2__BAO_min,chi2__BAO_max,chi2__SN_mean,chi2__SN_std,chi2__SN_min,chi2__SN_max,chi2__shoes_H0_mean,chi2__shoes_H0_std,chi2__shoes_H0_min,chi2__shoes_H0_max
1,40929,125775.0,72.84277735164382,0.1420935810765818,72.600629,73.290318,-10.170099483685151,0.23915367829001713,-10.59992,-9.6192863,7.822181114067184e-11,4.172984293768536e-11,2.5123468e-11,2.4027782e-10,2121.0301723641423,3.0184728790721933,2112.9453,2136.3193,4316.369171262175,6.047743578062292,4300.2676,4347.6333,2845.5052497507454,5.621943921403169,2831.4591,2878.6877,43.71215043745578,1.6077179970642999,39.479199,50.098136,1427.0971411226399,0.5000838696215439,1425.8333,1428.9433,0.05462958290063909,0.05100407688625359,1.4872904e-09,0.17848242
2,40713,124716.0,72.83969490394176,0.13804717858316667,72.60034,73.264305,-10.192171857766445,0.21946675459938453,-10.599446,-9.577849,7.287321758535391e-11,3.7332115460392465e-11,2.5150911e-11,2.6433279e-10,2120.8069407638154,2.865481462874046,2113.5777,2137.4186,4315.906138423297,5.6731447558842625,4302.2423,4348.7626,2845.2013404960067,5.536097713521687,2832.0214,2879.9688,43.60439451436063,1.64703898615327,39.133377,51.391317,1427.0456892852562,0.4952067014245965,1425.7204,1429.2752,0.05471445450969646,0.04804966712071924,5.5343748e-08,0.17871744
3,40600,121980.0,72.84504652483194,0.1337029068865238,72.600815,73.276169,-10.217339217100342,0.21683787087780104,-10.599972,-9.5692243,6.861577006706837e-11,3.5181486211058216e-11,2.5120482e-11,2.6963462e-10,2121.1040255607472,2.9462221102435797,2113.8201,2133.8417,4316.524075320544,5.771386989786204,4302.6632,4342.7796,2845.9693609854075,5.708202953581609,2831.7937,2870.7667,43.47882467758649,1.721114158047605,38.863471,48.721174,1427.0242222979175,0.5244685108151986,1425.5826,1428.8529,0.051667270780402154,0.04703602954479211,7.864558e-11,0.17833134
